zip,donations,total,total_population,donations_per_1000
20601,6976,190404.72999999978,26236,265.89419118768103
20602,6758,109716.81999999996,26835,251.8352897335569
20603,12854,248108.6100000006,32726,392.7763857483347
20604,247,8033.67,NA,NA
20606,11,131.43,314,35.031847133757964
20607,6889,181393.81000000043,10755,640.5392840539284
20608,337,2569.720000000003,739,456.02165087956695
20609,61,2290,1211,50.371593724194874
20610,68,1669.1999999999998,NA,NA
20611,46,1206,1354,33.97341211225997
20612,21,399.17,181,116.02209944751381
20613,6436,170352.85000000012,13240,486.10271903323263
20614,21,409,NA,NA
20615,25,633,513,48.732943469785575
20616,1703,38740.899999999994,6728,253.12128418549347
20617,274,7542.26,715,383.2167832167832
20618,313,6069.32,402,778.6069651741293
20619,2733,63659.01000000006,13845,197.39978331527627
20620,393,7357.65,1688,232.81990521327015
20621,66,967,1277,51.68363351605325
20622,356,8922.109999999999,6692,53.19784817692767
20623,2075,33616.96000000001,2619,792.287132493318
20624,60,795,1242,48.309178743961354
20625,454,9224.020000000004,929,488.69752421959095
20626,240,3636.8600000000006,278,863.3093525179855
20627,8,40,NA,NA
20628,43,12163.26,452,95.13274336283186
20629,37,813,525,70.47619047619047
20630,371,24333.75,192,1932.2916666666667
20632,21,2812.5,314,66.87898089171975
20634,1095,27256.079999999944,6961,157.30498491596035
20635,23,1176,NA,NA
20636,2316,58391.37,11295,205.0464807436919
20637,2083,40167.06999999999,5288,393.91074130105903
20638,24,729.74,NA,NA
20639,3313,119571.28999999998,15216,217.73133543638275
20640,1569,24599.82999999998,11113,141.18599838027535
20644,33,659,NA,NA
20645,199,10778.3,653,304.7473200612558
20646,5566,130374.95000000004,22583,246.46858256210425
20647,1,39.8,NA,NA
20649,6,330,NA,NA
20650,3964,144375.84000000023,14069,281.7542113867368
20653,3608,81705.0799999999,26112,138.17401960784315
20656,38,1569.76,NA,NA
20657,5067,125720.03000000009,19711,257.0645832276394
20658,288,10475.370000000004,858,335.6643356643357
20659,2061,66697.38,23030,89.49196699956579
20660,5,190,0,Inf
20662,316,3207.0199999999995,2333,135.44792113159025
20663,6,135,NA,NA
20664,225,19794.23,3285,68.4931506849315
20667,37,1525.3899999999999,868,42.62672811059908
20669,1,20,NA,NA
20670,100,2542.67,1620,61.72839506172839
20674,355,9889.67,1082,328.09611829944544
20675,265,13192.099999999999,1662,159.44645006016847
20676,4042,51759.59,3631,1113.191958138254
20677,666,19220.510000000002,2215,300.67720090293454
20678,2380,49224.85999999996,12418,191.65727170236755
20679,1,250,NA,NA
20680,87,6197.360000000001,649,134.05238828967643
20682,3,153,NA,NA
20683,6,280,NA,NA
20684,90,3067.24,784,114.79591836734694
20685,2422,44961.41000000005,6732,359.7742127153892
20686,776,26377.35,1639,473.4594264795607
20687,80,2937.49,429,186.4801864801865
20688,3855,84676.29000000008,1945,1982.0051413881747
20689,201,18325.74,2386,84.24140821458508
20690,697,10894.629999999992,950,733.6842105263158
20691,4,84,NA,NA
20692,161,5585.110000000001,684,235.38011695906434
20693,226,5676.370000000001,1171,192.99743808710505
20694,3,28,NA,NA
20695,4407,98344.96999999994,8400,524.6428571428572
20696,2,189.92,NA,NA
20697,12,89,NA,NA
20698,11,205.5,NA,NA
20701,127,5610.76,760,167.10526315789474
20702,2,42,NA,NA
20703,225,2404.51,NA,NA
20704,71,1503.76,NA,NA
20705,8949,263127.96999999945,28348,315.6836461126005
20706,12313,314519.8699999994,45329,271.6362593483201
20707,16759,392772.42999999854,32184,520.7245836440467
20708,7135,155413.97000000026,26842,265.8147679010506
20709,69,826,NA,NA
20710,645,28141.24,9483,68.01645049035116
20711,1572,67949.20999999996,7400,212.43243243243242
20712,4346,127500.21000000004,9649,450.4093688465126
20713,38,307,NA,NA
20714,2108,41288.52999999997,5331,395.42299756143314
20715,17641,314771.77000000153,27360,644.7733918128655
20716,9976,277360.8199999999,22223,448.90428834990774
20717,56,1502.75,NA,NA
20718,237,5407.000000000001,NA,NA
20719,14,385,NA,NA
20720,17274,545108.1899999978,23618,731.3913117114066
20721,27247,1016134.5099999991,30121,904.5848411407324
20722,4938,57960.55000000015,5604,881.1563169164882
20723,12363,402577.18000000034,36082,342.6362175045729
20724,6276,110552.95999999986,17681,354.957298795317
20725,122,5023.42,NA,NA
20726,62,948,NA,NA
20727,5,13,NA,NA
20729,3,70.17,NA,NA
20730,2,25,NA,NA
20731,115,653,NA,NA
20732,4164,104842.46,10295,404.46818844099073
20733,1910,50651.11,2645,722.117202268431
20734,20,578,NA,NA
20735,15308,316990.6299999999,37009,413.629117241752
20736,3030,72934.04000000002,8715,347.6764199655766
20737,3706,102120.56000000013,22666,163.50480896496956
20738,65,964,NA,NA
20739,4,160,NA,NA
20740,12587,317914.8899999996,31723,396.7783627021404
20741,1486,40967.22999999998,NA,NA
20742,56,12867.61,6511,8.600829365688835
20743,6852,165297.1299999999,38747,176.8394972514001
20744,31497,615052.9699999988,54572,577.1641134647805
20745,12754,230824.93999999977,27503,463.73122932043776
20746,5612,110835.93000000007,26396,212.60797090468253
20747,9223,156460.6300000003,41128,224.2511184594437
20748,12089,230580.97000000085,38720,312.21590909090907
20749,123,2894.23,NA,NA
20750,732,10758.440000000002,NA,NA
20751,943,30918.42999999999,1972,478.19472616632856
20752,39,1026,NA,NA
20753,147,2130,NA,NA
20754,1806,52836.890000000014,6950,259.8561151079137
20755,718,13748.609999999999,11340,63.31569664902999
20757,115,2539.17,NA,NA
20758,169,6653.169999999999,486,347.73662551440333
20759,4003,216717.4500000003,4721,847.9135776318577
20762,160,2821.08,3316,48.25090470446321
20763,1067,16640.289999999997,1955,545.7800511508951
20764,1593,58113.28999999995,3482,457.4956921309592
20765,376,18800.059999999998,530,709.4339622641509
20768,190,4025.74,NA,NA
20769,7457,183612.53000000017,6172,1208.198314970836
20770,17073,470197.8199999965,24602,693.967970083733
20771,16,223,NA,NA
20772,24555,701566.209999997,46471,528.3940522046007
20773,348,13695.669999999998,NA,NA
20774,28133,790564.2600000018,49907,563.708497805919
20775,333,8819.52,NA,NA
20776,1344,43335.319999999985,2940,457.1428571428571
20777,2707,111532.35999999994,3444,786.0046457607434
20778,1436,39547.169999999984,2460,583.739837398374
20779,687,29339.599999999988,956,718.6192468619247
20781,5853,231033.8899999996,11460,510.7329842931937
20782,12863,595571.0799999984,32527,395.45608263903836
20783,5720,339753.4999999998,45550,125.57628979143797
20784,5749,90245.51000000014,30381,189.23011092459103
20785,11413,374647.23999999976,39237,290.87341030150117
20786,52,2143.299999999999,NA,NA
20787,24,339,NA,NA
20788,2,20,NA,NA
20790,2,1760,NA,NA
20791,70,2046.19,NA,NA
20792,210,9272.24,NA,NA
20794,2890,65081.25000000002,16956,170.44114177872137
20795,77,1970,NA,NA
20796,3,102,NA,NA
20797,2,28,NA,NA
20798,7,89,NA,NA
20801,6,1104,NA,NA
20802,47,1088.26,NA,NA
20803,14,140,NA,NA
20804,15,607,NA,NA
20805,125,6799.7,NA,NA
20806,24,436,NA,NA
20807,7,121,NA,NA
20810,19,2173,NA,NA
20812,416,82029.63,323,1287.9256965944273
20813,8,280,NA,NA
20814,54366,3840965.980000051,29632,1834.7057235421166
20815,77637,9090681.019999975,30908,2511.8739484923
20816,35071,3206491.790000002,16661,2104.97569173519
20817,65357,5935171.610000005,38131,1714.0122210275103
20818,3976,339569.6300000002,2072,1918.918918918919
20820,1,20,NA,NA
20822,1,5,NA,NA
20823,2,50,NA,NA
20824,474,28802.58,NA,NA
20825,553,11115.519999999999,NA,NA
20826,27,1062,NA,NA
20827,182,12166.57,NA,NA
20828,2,12,NA,NA
20830,139,1310,NA,NA
20832,15646,505974.4099999999,25427,615.3301608526369
20833,4572,170021.89000000042,7746,590.2401239349342
20834,29,915,NA,NA
20835,41,413,NA,NA
20836,32,871.25,NA,NA
20837,4684,155442.2500000004,6129,764.2356012400065
20838,448,18843.38,377,1188.3289124668436
20839,462,11704.82,139,3323.741007194245
20840,21,105,NA,NA
20841,4010,161266.3100000001,11692,342.9695518303113
20842,978,55610.649999999994,1467,666.6666666666666
20844,47,1252.5,NA,NA
20845,2,100,NA,NA
20847,11,529,NA,NA
20848,42,757.49,NA,NA
20849,375,4026.31,NA,NA
20850,45289,1625183.4800000193,53522,846.175404506558
20851,5030,158464.17000000016,14519,346.44259246504583
20852,48307,1984718.029999996,47338,1020.4698128353542
20853,19911,556389.1599999968,31510,631.8946366232941
20854,55150,4750407.0800000075,49196,1121.026099682901
20855,10620,442482.6699999997,15955,665.6220620495143
20856,15,782,NA,NA
20858,7,92,NA,NA
20859,329,43985.94,NA,NA
20860,4148,138927.70000000022,2890,1435.2941176470588
20861,2729,124085.48999999998,2015,1354.3424317617867
20862,260,16786.32,359,724.233983286908
20864,52,1064,NA,NA
20865,38,1886,NA,NA
20866,6180,175550.99000000046,16974,364.08624955814776
20867,14,1045,NA,NA
20868,451,11939.11,539,836.7346938775511
20869,7,305,NA,NA
20870,9,450,NA,NA
20871,8598,204083.8700000006,18961,453.45709614471815
20872,7302,125311.22000000012,12790,570.9147771696638
20873,6,225,NA,NA
20874,22381,527915.7199999968,60258,371.4195625477115
20875,256,7279.070000000001,NA,NA
20876,9660,214333.43000000037,31703,304.7030249503201
20877,15286,371444.01,37948,402.8143775693054
20878,41096,1313016.6799999939,63576,646.4074493519568
20879,10054,219295.58000000266,26343,381.6573662832631
20880,1356,52557.24000000001,530,2558.490566037736
20882,8651,261341.96000000022,14441,599.0582369641992
20883,100,50776.7,NA,NA
20884,42,388,NA,NA
20885,98,2054.08,NA,NA
