zip,donations,total,total_population,donations_per_1000
20601,1425,35154.4,26236,54.31468211617624
20602,897,22974.03999999998,26835,33.42649524874231
20603,1449,54640.36000000012,32726,44.276721872517264
20604,58,1159.21,NA,NA
20606,21,293.59999999999997,314,66.87898089171975
20607,578,12869.199999999993,10755,53.74244537424454
20608,26,960.6999999999999,739,35.182679296346414
20609,48,2305.4399999999996,1211,39.63666391412056
20610,40,2338.0399999999995,NA,NA
20611,35,826.2,1354,25.849335302806498
20612,146,717.07,181,806.6298342541437
20613,1242,21712.14999999992,13240,93.80664652567975
20615,156,2400.2400000000016,513,304.093567251462
20616,292,6938.1399999999985,6728,43.40071343638525
20617,122,2581.13,715,170.62937062937064
20618,111,3086.189999999999,402,276.11940298507466
20619,1321,50741.130000000056,13845,95.41350668111231
20620,163,5863.94,1688,96.56398104265402
20621,39,1845.4899999999993,1277,30.540328895849647
20622,383,17405.309999999994,6692,57.232516437537356
20623,103,2147.4399999999996,2619,39.32798778159603
20624,18,727.2300000000001,1242,14.492753623188406
20625,26,1835.3699999999997,929,27.98708288482239
20626,16,1488.6,278,57.55395683453238
20627,3,520.24,NA,NA
20628,88,2661.529999999999,452,194.69026548672565
20630,57,8129.480000000001,192,296.875
20632,74,1660.4599999999996,314,235.6687898089172
20634,2590,41293.05999999995,6961,372.0729780203994
20636,1831,39801.99999999989,11295,162.1071270473661
20637,1342,50569.88999999994,5288,253.78214826021178
20639,4060,78700.29000000027,15216,266.8243953732913
20640,1132,23500.449999999957,11113,101.86268334383155
20645,104,2337.07,653,159.26493108728943
20646,5750,92164.8600000004,22583,254.61630429969446
20650,6687,111278.18000000074,14069,475.30030563650575
20653,2289,45948.46000000004,26112,87.66084558823529
20656,4,4,NA,NA
20657,1350,80439.92000000038,19711,68.48967581553447
20658,11,1121.18,858,12.82051282051282
20659,3755,91069.19000000054,23030,163.04819800260532
20660,2,2000,0,Inf
20662,133,9742.390000000003,2333,57.00814402057436
20664,281,8245.47,3285,85.54033485540336
20667,30,1417.1299999999999,868,34.562211981566826
20670,19,705.89,1620,11.728395061728396
20674,209,9114.100000000006,1082,193.1608133086876
20675,131,4188.69,1662,78.82069795427196
20676,691,23146.85999999999,3631,190.30570090884055
20677,10510,52261.30000000037,2215,4744.920993227991
20678,2547,50940.49999999995,12418,205.10549202770173
20680,44,1978.8000000000002,649,67.79661016949153
20684,75,3987.879999999999,784,95.66326530612244
20685,1045,30678.48999999994,6732,155.22875816993465
20686,5,389.33,1639,3.050640634533252
20687,7,244.3,429,16.317016317016318
20688,2245,37209.47999999994,1945,1154.241645244216
